#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
105.65,50,16.174142
104.03,50,16.193156
62.96,29,16.204166
97.66,50,16.223245
97.91,50,16.241246
105.75,50,16.26081
97.19,50,16.280193
107.57,50,16.299054
102.62,50,16.31839
103.61,50,16.33739
101.58,50,16.356803
96.55,50,16.37574
50.45,25,16.385787
101.05,50,16.404402
103.05,50,16.423682
103.92,50,16.442394
101.52,50,16.460979
99.01,49,16.47915
104.33,50,16.498913
37.61,18,16.504912
104.54,50,16.52421
95.76,50,16.54321
101.19,50,16.562227
100.49,50,16.58204
106.15,50,16.601039
105.26,50,16.619039
100.49,50,16.63854
103.72,50,16.657948
97.34,50,16.676682
99.78,50,16.695131
113.63,50,16.714421
106.3,50,16.734263
100.84,50,16.755716
1.16,1,16.756716
83.36,41,17.472065
113.57,50,17.491067
106.48,50,17.51059
107.25,50,17.530591
110.4,50,17.549732
105.98,50,17.568969
110.14,50,17.588969
106.59,50,17.607969
108.52,50,17.627969
103.46,50,17.646969
104.61,50,17.666898
27.09,14,17.672903
109.76,50,17.691785
105.73,50,17.710785
111.37,50,17.730785
103.74,50,17.750785
106.02,50,17.770319
12.1,6,17.772319
111.31,50,17.791401
47.64,23,17.8004
37.1,18,17.807506
12.42,6,17.809507
92.99,38,17.824531
103.18,50,17.844074
104.48,50,17.863143
110.99,50,17.883161
105.38,50,17.902464
108.19,50,17.921469
39.27,19,17.929463
60.96,29,17.940463
106.1,50,17.959462
109.73,50,17.979463
108.48,50,17.999462
105.34,50,18.018462
111.66,50,18.037466
103.43,50,18.057463
107.34,50,18.076462
104.35,50,18.096463
107.91,50,18.115463
106.85,50,18.135401
106.15,50,18.15468
112.33,50,18.173645
102.88,50,18.193644
105.5,50,18.212645
43.41,22,18.221647
100.79,50,18.241006
107.73,50,18.973792
112.87,50,18.99291
104.01,50,19.012069
110.63,50,19.030931
107.96,50,19.050933
20.93,11,19.054931
104.07,50,19.07385
109.84,50,19.093849
104.02,50,19.11252
104.82,50,19.132622
108.12,50,19.152308
103.35,50,19.171309
109.88,50,19.19063
112.05,50,19.21066
106.73,50,19.229895
111.33,50,19.249635
112.12,50,19.269366
103.48,50,19.289066
108.69,50,19.308519
108.55,50,19.329249
8.52,5,19.331249
107.2,50,19.350286
114.57,50,19.369249
108.77,50,19.389116
107.87,50,19.408817
105.79,50,19.42819
111.77,50,19.44719
104.73,50,19.46719
112.9,50,19.486189
110.46,50,19.50619
110.31,50,19.525332
106.01,50,19.544656
103.81,50,19.563656
103.42,50,19.583655
111.54,50,19.602842
106.96,50,19.622928
113.5,50,19.641891
107.05,50,19.66189
101.54,50,19.680889
111.07,50,19.69989
109.45,50,19.720138
107.69,50,19.739157
116.16,50,19.759138
107.09,50,20.484293
113.63,50,20.504232
109.49,50,20.523232
109.22,50,20.543241
108.98,50,20.562274
110.48,50,20.58124
102.7,50,20.601241
120.26,50,20.620541
120.25,50,20.640277
114.34,50,20.659005
49.63,25,20.669006
106.4,50,20.688006
112.9,50,20.707433
103.05,50,20.726703
119.1,50,20.746866
110.92,50,20.765867
110.07,50,20.785028
113.54,50,20.810368
117.68,50,20.833946
119.11,50,20.85643
108.64,50,20.875003
108.33,50,20.894243
113.0,50,20.913318
111.42,50,20.932317
104.84,50,20.951832
111.97,50,20.971427
112.85,50,20.991846
114.23,50,21.011168
9.29,5,21.013169
112.72,50,21.031895
108.59,50,21.050895
105.98,50,21.070914
113.38,50,21.089934
111.12,50,21.109915
115.31,50,21.129027
119.91,50,21.149129
108.01,50,21.167766
100.38,50,21.186987
110.87,50,21.20677
41.47,21,21.214768
112.08,50,21.23352
109.61,50,21.252816
115.03,50,21.271768
108.83,50,21.986021
112.19,50,22.005377
106.9,50,22.025077
116.4,50,22.044078
111.82,50,22.063077
115.18,50,22.082474
116.03,50,22.101548
113.79,50,22.120489
114.62,50,22.139503
123.98,50,22.158819
115.15,50,22.178184
120.62,50,22.197184
117.74,50,22.216058
111.3,50,22.236058
114.06,50,22.255072
114.65,50,22.274417
116.06,50,22.293418
110.54,50,22.312417
116.78,50,22.331772
111.48,50,22.35107
112.21,50,22.370557
111.39,50,22.388996
109.73,50,22.408189
117.91,50,22.427959
112.0,50,22.446966
119.32,50,22.46596
112.09,50,22.485954
110.24,50,22.504958
109.65,50,22.523958
107.87,50,22.542959
107.76,50,22.561958
115.15,50,22.580957
118.77,50,22.60022
106.61,50,22.619202
120.65,50,22.638732
109.94,50,22.658479
114.06,50,22.676776
110.92,50,22.696777
117.95,50,22.715782
115.13,50,22.734667
110.2,50,22.754194
109.56,50,23.473887
120.63,50,23.493888
117.25,50,23.513886
116.07,50,23.532823
121.47,50,23.551827
113.14,50,23.571631
117.02,50,23.590633
106.65,50,23.609631
118.48,50,23.628632
115.3,50,23.647648
116.44,50,23.666636
112.26,50,23.685636
120.24,50,23.704632
121.73,50,23.723631
113.24,50,23.742483
120.5,50,23.761484
107.72,50,23.781483
115.16,50,23.800484
111.63,50,23.819687
119.84,50,23.839042
117.8,50,23.857972
115.25,50,23.877346
117.9,50,23.896388
112.53,50,23.915754
111.48,50,23.934754
112.34,50,23.953249
111.65,50,23.972272
117.64,50,23.99126
121.25,50,24.010432
112.93,50,24.0297
107.6,50,24.048699
117.5,50,24.0677
123.91,50,24.086685
110.13,50,24.10575
115.85,50,24.125142
116.6,50,24.144165
118.45,50,24.163142
115.45,50,24.183142
120.22,50,24.202142
122.23,50,24.221143
114.86,50,24.240478
114.7,50,24.956691
114.6,50,24.976691
116.15,50,24.995694
117.2,50,25.015691
120.12,50,25.035673
125.02,50,25.054841
121.56,50,25.074226
120.86,50,25.093462
124.7,50,25.113461
115.2,50,25.132459
111.52,50,25.151615
118.39,50,25.171015
125.52,50,25.190468
119.36,50,25.210357
114.44,50,25.229429
120.0,50,25.249865
117.08,50,25.268674
120.48,50,25.288141
112.11,50,25.307764
120.39,50,25.327763
113.97,50,25.34662
112.56,50,25.366151
118.09,50,25.38615
117.87,50,25.405151
116.74,50,25.424705
110.56,50,25.4441
116.5,50,25.464068
127.0,50,25.483416
64.64,26,25.494416
117.53,50,25.513415
114.96,50,25.532981
0.95,1,25.532981
115.76,50,25.552981
115.79,50,25.572878
120.93,50,25.59231
117.58,50,25.611316
113.68,50,25.630935
116.67,50,25.650934
122.48,50,25.671212
109.43,50,25.691211
127.1,50,25.710569
116.08,50,25.729574
128.05,50,26.454218
112.98,50,26.474508
117.82,50,26.496505
126.11,50,26.517507
123.5,50,26.538428
119.41,50,26.560428
131.66,50,26.580429
120.29,50,26.60143
119.39,50,26.620513
118.39,50,26.641475
116.26,50,26.661474
129.03,50,26.682474
129.53,50,26.703349
119.17,50,26.725605
126.21,50,26.746605
121.4,50,26.766605
125.38,50,26.787606
121.29,50,26.807629
123.64,50,26.826607
117.71,50,26.84475
121.04,50,26.864182
127.66,50,26.886179
118.56,50,26.907402
124.69,50,26.927592
123.8,50,26.947383
124.27,50,26.968382
119.66,50,26.989383
119.27,50,27.009877
110.86,50,27.031197
121.17,50,27.052197
117.72,50,27.073198
119.57,50,27.092197
124.22,50,27.112864
124.25,50,27.134134
121.95,50,27.154407
131.63,50,27.175012
118.77,50,27.196014
122.12,50,27.217229
120.49,50,27.238263
121.48,50,27.258226
117.11,50,27.279225
117.77,50,28.039794
122.86,50,28.061793
121.39,50,28.082793
124.4,50,28.103795
133.1,50,28.123794
119.91,50,28.143198
120.85,50,28.164199
125.8,50,28.185197
130.12,50,28.206198
119.26,50,28.226981
117.44,50,28.247
119.69,50,28.268062
123.08,50,28.289062
119.56,50,28.310064
118.26,50,28.331065
124.6,50,28.350961
125.53,50,28.37354
118.08,50,28.394944
122.39,50,28.415654
125.01,50,28.436655
118.37,50,28.458323
127.03,50,28.479609
129.95,50,28.499043
23.31,11,28.504042
130.64,50,28.526044
124.65,50,28.546042
121.21,50,28.567741
121.27,50,28.587636
121.72,50,28.608635
